Id, Coins, Current Winstreak, Current Level, Diamonds Collected, Emeralds Collected, Gold Collected, Iron Collected
192,1723417,0,519,20972,19915,287457,1735557
193,1268200,98,594,40347,9721,229734,1496272
194,1162776,0,664,36482,19625,282679,1712493
195,309387,24,696,34534,13053,282358,1666647
196,627455,5,521,34201,11157,201298,1122746
197,1725251,0,739,46300,30942,333609,2109503
198,1254856,6,684,90438,40125,438696,2138598
199,3950622,14,815,84537,33111,419136,2142459
200,3033893,4,686,36444,11845,330148,2327347
201,4214896,4,652,24491,11374,288791,1751683
202,740263,274,509,8398,7823,176614,1120277
203,1519356,23,610,28273,12316,309612,1482504
204,54561,1,426,13677,8137,192961,1200894
205,1648813,9,570,41580,17852,282099,1465278
206,80577,95,485,27831,14834,200244,1201732
207,575074,5,369,18729,10170,157176,981817
208,1959290,4,773,27049,19964,424905,2405391
209,449582,2,461,23770,12163,272934,1742611
210,422125,6,430,13284,19605,215086,1392377
211,3695887,2,698,55156,25412,377713,1955159
212,606869,4,597,31291,21381,301072,1762771
213,135982,0,594,69837,33912,419881,2665051
214,1401156,19,473,17359,7179,175268,1223304
215,2069345,6,692,30038,8265,299983,1801021
216,2487579,9,799,74603,32056,390110,2441501
217,558803,0,659,34777,15233,260715,1653223
218,1504811,0,410,9750,7974,252646,1449006
219,1386415,31,483,21693,10633,213758,1451177
220,67060,9,452,36155,18907,223677,1384542
221,1263697,14,601,22869,25060,288303,1836589
222,2150522,74,572,12265,7362,174251,1131449
223,492314,0,662,33774,18727,270291,1519486
224,1605486,14,564,23236,12558,225249,1293152
225,3705138,2,813,25473,12209,345600,2379763
226,2339297,2,448,34912,13098,251648,1584900
227,1758249,56,448,24931,8829,204332,1143511
228,347677,4,587,40996,12093,301140,1543228
229,1718035,24,607,22044,14307,286892,1888518
230,4574196,0,786,45877,7913,375401,2507676
231,2223630,273,435,12496,5355,150973,1006813
232,2410479,7,515,22440,16699,227302,1540531
233,2163708,15,666,63367,26293,288907,1435084
234,1701184,17,524,28945,9025,262441,1698751
235,204154,3,716,45354,21136,401933,2219480
236,1138526,2,728,30294,17889,360515,2250729
237,480582,5,447,13461,9563,153390,964219
238,782284,1,362,18492,7012,180547,1200565
239,1811493,3,433,24137,10084,197814,1299555
240,300645,2,431,20619,8236,175196,1229634
241,350448,9,707,65323,21424,400961,2247898
242,40044,2,534,31201,14080,259945,1573316
243,41028,3,491,48247,17551,274097,1429174
244,2384249,0,801,55867,26544,348055,1989068
245,577363,2,691,21904,23203,318231,2203248
246,1783127,0,431,34075,11088,240542,1466936
247,3140642,3,892,45924,31796,369070,2566289
248,728146,17,367,19513,8824,152494,1008212
249,2356826,23,837,110928,64626,455559,2483541
250,778117,0,585,22761,12965,260404,1582714
251,1018549,0,511,38215,13632,228823,1311269
252,671487,0,431,14045,4489,166608,1046567
253,1622414,9,480,52387,16156,345495,2245817
254,642941,0,313,6387,4033,135875,1041829
255,2014862,1,665,33954,16908,277034,1582030
256,283913,0,505,15010,27277,229489,1632383
257,715838,5,481,17045,15120,236967,1520132
258,468542,1,723,42720,20357,247911,1372433
259,1522965,3,558,16733,13776,264540,1689865
260,21009,35,406,18653,8705,204706,1279444
261,1267781,18,705,48079,16482,317086,1715195
262,1134158,1,746,67114,24721,406610,2122225
263,1369935,0,566,33735,14277,285921,1755420
264,4594661,1,609,81164,16670,374254,1673988
265,2594840,12,611,37881,11501,278457,1757168
